input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.14795978,-0.23335949
1,-0.10100090175801867,0.22455885154253313,1.454116583862577,1.591896335158928,0.109946966,-0.13820565
2,-0.10199502343135987,0.27989331540998225,1.3850137601282935,1.5837468929963001,0.037101075,0.10380618
3,-0.10197848441173538,0.2973832846841692,1.4369168514993529,1.5568825733387137,0.03554423,0.075386286
4,-0.10157637587224008,0.3147274751901809,1.474609994390283,1.5389382191821446,0.021430187,0.09609553
5,-0.10114727514754905,0.3252749609530078,1.5226577604797225,1.5218067069699468,0.020477869,0.09569239
6,-0.1005594946504513,0.33564494963963026,1.5705039548364024,1.5069734045828407,-0.019103542,0.16659021
7,-0.10122757157273855,0.3271959926483516,1.6537990617242198,1.475596829767284,-0.09465644,0.2783675
30,-0.39113510288223374,2.018338131438087,1.1779024275627474,1.3805845074320242,0.14983831,0.17686233
0,-0.0999999999999998,0.1722222222222222,1.5707963267948966,1.5707963267948966,0.15056384,-0.23191005
1,-0.10100434251124162,0.2480712557239127,1.4548413018372397,1.5914825452926111,0.08846696,-0.078109264
2,-0.10172826954561734,0.29237889622092605,1.41578666965035,1.582052451008215,0.039019212,0.08596638
3,-0.10171806914414029,0.31114227762490404,1.4587698588755469,1.559230333977219,0.031483956,0.08209159
4,-0.10140177384949713,0.32654776355282,1.4998156550016741,1.5418626794309511,0.019112945,0.099944584
5,-0.10104399407906768,0.33605318689812974,1.5497879470374922,1.524940681235075,0.021510229,0.10212663
6,-0.10045360313283536,0.3470684661039256,1.6008512611177306,1.5100303919692364,-0.031288758,0.22134091
7,-0.10156569514737629,0.3335566830006418,1.7115217159178595,1.4649812246409895,-0.11863504,0.3107438
28,-0.4019145682841404,1.9074312844936794,1.2080438817527632,1.458489384904739,0.18840614,-0.058993176
29,-0.3886069709306693,1.9987883550071879,1.1785472939398627,1.3955890602724716,0.17506167,0.12474072
0,-0.0999999999999998,0.1944444444444444,1.5707963267948966,1.5707963267948966,0.14609952,-0.21894914
1,-0.10093153057957177,0.26800700611918554,1.4613217572357993,1.5907960567274926,0.07516697,-0.037551463
2,-0.10148790697968983,0.3055009537582252,1.4425460259106497,1.5802989801547482,0.03741183,0.082433105
3,-0.10146991122069648,0.3236584439452475,1.4837625781681876,1.5600018665806084,0.026300251,0.09105512
4,-0.10121630382014521,0.3365872736647804,1.5292901369419436,1.5428855859486035,0.020695798,0.09729464
5,-0.10084158674491406,0.3470156864970079,1.577937458702598,1.5273202007392874,0.0041316003,0.12333344
6,-0.10070083609425669,0.3496313258660619,1.6396041783180575,1.5074846657722587,-0.05130729,0.22721049
7,-0.10271617531845563,0.32711955145108496,1.7532094242658953,1.4522747621481236,-0.11158368,0.31164414
29,-0.384065313974175,2.025903631787597,1.1784871193256716,1.3770657980643162,0.13269556,0.19668354
30,-0.3695783275829533,2.08892384835658,1.276828889795814,1.3186676285187955,-0.1502968,0.16297132
31,-0.3892087762133776,2.016531144396846,1.3583145486798625,1.2886155524857392,-0.092719525,0.124636844
0,-0.0999999999999998,0.2166666666666666,1.5707963267948966,1.5707963267948966,0.13791725,-0.1976861
1,-0.10081197591100959,0.28605438244666004,1.4719532738116126,1.5896340269850624,0.06477727,-0.0074003637
2,-0.10123877566983136,0.31827200883685697,1.4682530919697623,1.5785847939217725,0.034735344,0.08130204
3,-0.10121158456265196,0.33525305668571764,1.508904111632381,1.5604174481949724,0.021300845,0.09795484
4,-0.10100993232376054,0.34580787379800504,1.557881531366382,1.5434462069232298,0.023825735,0.094793044
5,-0.10059123197784095,0.35791404279142036,1.6052780533817153,1.529465232854196,0.0029355958,0.18018705
6,-0.1004394073776827,0.360579313610752,1.6953715766456465,1.5003873547599307,-0.07529664,0.2910647
7,-0.10385873691575881,0.32937395341104747,1.8409039313581328,1.4163237545658829,-0.024671406,0.28190932
8,-0.10450085898506771,0.325836930208228,1.9818585897472243,1.3551562353794337,0.062466692,0.2436049
28,-0.37018134022954186,2.0254002802114357,1.1836028630521636,1.3787987116927025,0.13104713,0.20167013
29,-0.35598833790351225,2.0876968511125638,1.284437925615583,1.3208385839398604,-0.15348476,0.17450066
30,-0.3759941904883348,2.0138788279344544,1.3716882551696639,1.2861630911792747,-0.10308476,0.1263548
31,-0.39106798826686023,1.9660403682520537,1.4348656545069556,1.2417186108377347,-0.068009704,0.09493367
36,-0.5351860865718573,1.7017054619042986,1.2517224522915225,0.9396715116759928,-0.16966528,-0.25058436
37,-0.5867237663749426,1.6340132501813824,1.1264302703228335,0.9047998758550644,-0.16131249,-0.20998901
38,-0.637448996520958,1.5705904090981604,1.0214357646789889,0.8917143276192065,-0.16708818,-0.16518357
39,-0.6902020327707193,1.5053213758070114,0.9388439776983599,0.8943583674917234,-0.19091067,-0.10130978
40,-0.7496583598650864,1.4305830396455272,0.8881890895452837,0.9065544126088694,-0.17925721,-0.12522236
