input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.082537845,-0.0379104
1,-0.10010732010938528,0.19128766807210018,1.5518411258843283,1.5754529030492888,0.09822714,-0.030282915
2,-0.10034410622889675,0.2404235329119963,1.5366996685650687,1.5753668840119779,0.10112332,-0.010589778
3,-0.10045429693804582,0.29096732963722977,1.531404779353414,1.5705719267364275,0.08488192,0.017436162
4,-0.10028233579512971,0.3333600311901195,1.5401228601720671,1.5632858107286933,0.061286792,0.05172409
5,-0.09990274259102536,0.363985125390725,1.5659849057581763,1.5541191839478827,0.03763012,0.08425358
6,-0.09947115483408354,0.38294284776635396,1.6081116954472403,1.5425346027578128,0.014274087,0.110839605
7,-0.09919197065698103,0.390597533404294,1.6635314981129508,1.526568366649396,-0.022107631,0.120646164
8,-0.09975001652053853,0.38082213313322505,1.723854580023561,1.5001947993386073,-0.061797585,0.123502575
9,-0.10236539988702385,0.3529389068713424,1.7856058674540858,1.4521894482376054,-0.103236794,0.17019723
10,-0.10945319833945841,0.3099880602583667,1.8707044842329363,1.3559883926568304,-0.046845514,0.26139265
11,-0.11230256960880602,0.2988964928034151,2.0014008107271533,1.27532767177614,0.12127192,0.22205818
12,-0.09968680975240558,0.3499830420588009,2.112429899224315,1.3822210695757873,0.17629513,0.13133807
13,-0.09228402992063713,0.42228692142029167,2.1780989366259913,1.5492708419181833,0.19482034,-0.011715546
14,-0.09792420439501537,0.5052446059524899,2.1722411635008196,1.7171099492337312,0.19286233,-0.117997244
15,-0.11689892567899095,0.5913173806366054,2.113242541500602,1.8473436189885213,0.22030799,-0.2701221
16,-0.15174523586461552,0.6922939812907154,1.978181486078773,1.944063272942885,0.23030004,-0.23827316
17,-0.1956002974985254,0.7990866895012373,1.859044906744037,1.9676719513058671,0.22402488,-0.1527024
18,-0.2377475536068881,0.9028539518826246,1.7826937037196497,1.9423665739982945,0.22108926,-0.10963638
19,-0.2754915170456632,1.0060922992771906,1.727875513085399,1.8994967989769744,0.2229278,-0.068848595
20,-0.3085342616034314,1.1115590741592845,1.6934512155738215,1.8502476181999477,0.22060649,-0.050163046
21,-0.3362780153516425,1.2174675923290004,1.668369692811046,1.8049937583080566,0.21575339,-0.05454205
22,-0.3591604060044292,1.322301377748832,1.6410986679282527,1.767046216855602,0.21046168,-0.06729747
23,-0.3778985304573918,1.4254248544186965,1.6074499311533312,1.7340003350116913,0.20268393,-0.07811646
24,-0.3927756858702192,1.5253049129784144,1.5683917003360133,1.7028707060544004,0.1942703,-0.085280195
25,-0.4040482762548906,1.6214170000078048,1.5257516028967242,1.6716103722911442,0.19244769,-0.101871416
26,-0.4121729572210471,1.7169193140874017,1.4748158949103694,1.6387487912792573,0.20460363,-0.104049996
27,-0.41705106728632735,1.818502329029344,1.422790897139583,1.5981578585955096,0.21715996,-0.10522391
28,-0.41748821341929715,1.926282212128788,1.3701789426293711,1.551202752817482,0.23474497,-0.09438269
29,-0.4120658296950499,2.042501731460609,1.3229875984278063,1.4975682034083433,0.254917,0.027897537
30,-0.3986456680288585,2.167860891929427,1.3369363668051104,1.4361111125592083,0.16760977,0.26006526
31,-0.3852006369465216,2.2503644130337817,1.4669689955797534,1.3907563411851904,-0.11240803,0.17514575
32,-0.39628739835182564,2.1972281876084434,1.5545418682184557,1.3346931272867077,-0.07456595,0.10294851
33,-0.4051611550455588,2.1638374494229184,1.6060161227968077,1.2850968371710136,-0.1022528,0.07281941
34,-0.41973301632220367,2.1199778089267842,1.6424258286741118,1.2114953016679402,-0.14164469,-0.08915101
35,-0.44548069081205366,2.0596326674905527,1.5978503237154822,1.1215919159796883,-0.16187246,-0.2283789
36,-0.48215974332223843,1.9913743252345721,1.483660870292459,1.035160151295324,-0.14634338,-0.40131205
37,-0.5216790241366828,1.9271357088253098,1.2830048436906676,1.010855570801222,-0.19007607,-0.12905179
38,-0.573731828926327,1.8497545932905586,1.2184789488699774,0.9464330394921866,-0.15377043,-0.2100576
39,-0.6197602869314375,1.7877728611449457,1.1134501482036452,0.921094065714421,-0.16461262,-0.15505807
40,-0.6703628011375893,1.722676366309393,1.0359211126950125,0.9016197848909797,-0.16232467,-0.13487147
41,-0.7211436500296893,1.6590464256827733,0.9684853787210326,0.8956299749461709,-0.18313773,-0.10576989
42,-0.7784362124018683,1.5874432770083888,0.9156004349377493,0.8991812947898256,-0.20082335,-0.09074442
43,-0.8402161046466393,1.5084077965699116,0.8702282244947295,0.9191275466632152,-0.18750344,-0.13957693
44,-0.8943663414514289,1.4335872015240894,0.8004397610810141,0.9762396638614085,-0.17310427,-0.083324715
45,-0.9383555018711607,1.3630218138997856,0.7587774033334593,1.0565925754579832,-0.16498926,0.009221315
46,-0.9737346348985861,1.2936033408451741,0.7633880610254149,1.1464549713501697,-0.19115902,0.1471452
47,-1.0070615046160476,1.2089372754517667,0.8369606594231467,1.2466263756896596,-0.21496318,0.23677406
48,-1.0348215682804147,1.1092638624594497,0.9553476879980902,1.350824064010103,-0.22491124,0.18435074
49,-1.0518843606885069,1.0038577588982216,1.0475230599429945,1.4716956699926789,-0.19695409,0.47163993
0,-0.0999999999999998,0.1722222222222222,1.5707963267948966,1.5707963267948966,0.080251336,-0.028036654
1,-0.10007759791646512,0.2123582144732895,1.5567779997971396,1.5742728208267003,0.091959685,-0.018851519
2,-0.1002368772662878,0.25834721407634964,1.5473522404816489,1.5740125639034042,0.092401996,0.001428917
3,-0.10029088875608881,0.3045327841571231,1.5480666990068297,1.5700392937290994,0.075965434,0.027403414
4,-0.10013898798206194,0.34249556694693345,1.5617684061315398,1.5639686560205248,0.057179026,0.056842357
5,-0.0998217730884459,0.37112410509160226,1.590189584591661,1.5560461581859824,0.03560724,0.08617263
6,-0.09945436107425892,0.3891522524464274,1.63327590102819,1.5453482115902097,0.012519378,0.110204786
7,-0.0992238002731111,0.3960374113340946,1.6883782940593104,1.5296929346526278,-0.022550236,0.11285372
8,-0.09975652559724763,0.3861224412601826,1.744805154451404,1.5038123239790693,-0.056619275,0.114377625
9,-0.10201249906159714,0.3607647027110316,1.8019939670946936,1.45845019798261,-0.09109256,0.1551975
10,-0.10783708945597206,0.3229324201502056,1.8795927176859717,1.3725676824541877,-0.03921838,0.24265775
11,-0.1099528369342667,0.31390875239179494,2.0009215931084494,1.3023169702446344,0.11715828,0.20913295
12,-0.09877341352984775,0.3641608901970779,2.1054880703475813,1.4016710425796506,0.17293766,0.126413
13,-0.09248105839799758,0.4362461209864143,2.1686945716526846,1.5602855447757198,0.19347787,-0.018810347
14,-0.09881061404862092,0.5193667695847962,2.159289398291383,1.7226300014241462,0.19103526,-0.123394564
15,-0.11796034198271294,0.6051089643462131,2.097592116394315,1.847648208900931,0.2193251,-0.26836503
16,-0.15252593049127078,0.7060808148009133,1.9634096036341528,1.9393078401659816,0.2309554,-0.23047782
17,-0.19578605490702908,0.8135038540023245,1.8481706912305693,1.9592566232867643,0.22307476,-0.1491387
18,-0.23682415910813423,0.9171748114737387,1.7736013392594199,1.933171072739539,0.22150889,-0.10575755
