input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.12261701,-0.08909856
1,-0.10033778641863987,0.2114000477371327,1.5262470478799681,1.5799640188805386,0.063019454,-0.04920064
4,-0.10073199071109863,0.2691790800826317,1.533594780662332,1.565312788439755,0.028229516,0.022326052
5,-0.10061983602130893,0.28326287156015556,1.5447578067567687,1.5604799111005476,0.02662221,0.043948874
6,-0.10043204478217671,0.29657006534523467,1.5667322436955313,1.5531135152437474,-4.4599175e-05,0.1744451
7,-0.10041020436056591,0.29717230161738106,1.6539547900345664,1.5241251176580526,-0.045608483,0.30565375
30,-0.36072140112932916,1.9748049165017916,1.2124806503441672,1.4377743838169394,0.19828975,0.07785569
0,-0.0999999999999998,0.1722222222222222,1.5707963267948966,1.5707963267948966,0.10724755,-0.09098466
1,-0.1003144986304514,0.2259460975001855,1.525303998091493,1.5808419639395226,0.048090946,-0.027737722
2,-0.10055401675442571,0.2500298871147497,1.511435137191091,1.5804599874373477,0.027555384,0.026686206
5,-0.10051521234768186,0.2900382003020971,1.5575101087477545,1.560281545524455,0.016676523,0.10021244
6,-0.10035703798603124,0.29852162184524267,1.6076163286950926,1.5444337732801754,-0.038306255,0.27805996
29,-0.36608841805356895,1.93255652750748,1.225731843211923,1.4653496290253316,0.18789987,-0.0043518543
30,-0.35335264834051533,2.023624063589254,1.2235559160497527,1.4016225807810425,0.18864188,0.17208901
0,-0.0999999999999998,0.1944444444444444,1.5707963267948966,1.5707963267948966,0.06847672,-0.0259846
1,-0.10006319227612516,0.22869199416927236,1.5578040267017226,1.5741749558275486,0.039685037,-0.008012518
4,-0.10009427736255874,0.27419343717760225,1.6002472723510603,1.5586175180522823,-0.038721185,0.26400304
5,-0.10073175348233045,0.25678910009967737,1.7322487915542464,1.5065340656482282,-0.036528874,0.29012594
6,-0.10191480425558222,0.24429589810356023,1.8773117596891264,1.44117336072894,0.023177825,0.24284439
7,-0.09970263708216304,0.26015023341846005,1.9987339536335806,1.4244969231463607,0.07815467,0.23244207
21,-0.3655914746577983,1.447995012759909,1.5221658135440688,1.6699350853556159,0.15645619,-0.08540818
22,-0.3723043016427761,1.5256421444939976,1.4794617230680327,1.6434268958174139,0.11832254,-0.043575794
29,-0.349342805413032,2.0533675207058497,1.2372568557646613,1.3801629061917722,0.17211926,0.23714279
0,-0.0999999999999998,0.2166666666666666,1.5707963267948966,1.5707963267948966,0.03154793,0.04368461
1,-0.09994642512710619,0.2324696219511038,1.592638631412063,1.5642688841435501,-0.03130103,0.21803515
6,-0.09312637911618715,0.26632203269946514,2.1473997878518443,1.513264141289561,0.1818644,-0.0027818978
7,-0.0951829725539527,0.34355182744627916,2.1460088389602046,1.672073680913184,0.20500274,-0.1501881
8,-0.11182038893121139,0.4351112080268564,2.0709147873010973,1.8153059548607815,0.18726936,-0.18684871
9,-0.13776052731692667,0.5220420521550224,1.977490429827247,1.8968050282693576,0.17833206,-0.20148061
10,-0.16807162752435298,0.6057204388661915,1.8767501237478594,1.9329840487507084,0.18421428,-0.15555151
11,-0.20083094166611484,0.6921267376115107,1.7989743697133402,1.9295707606811474,0.20018302,-0.10747419
12,-0.23454548638661385,0.7860892101257103,1.7452372732248644,1.8996913642182434,0.1968025,-0.08354963
13,-0.2644199679637348,0.8792581027608691,1.7034624564137797,1.8622457608676377,0.1950099,-0.07065201
14,-0.29042082504517525,0.9725571954680748,1.6681364523854594,1.8231274028411693,0.19252606,-0.057195306
15,-0.31248056760195675,1.0655829052237629,1.6395387994733195,1.7846663166763022,0.19113088,-0.044873387
16,-0.3309110944062635,1.1587389061352915,1.6171021061625819,1.7483157102124893,0.18970041,-0.03835985
17,-0.3460151125278731,1.2518757750636738,1.5979221808400492,1.7155374020088556,0.19111449,-0.043522835
18,-0.3583601031052357,1.3462543726266933,1.5761607634511332,1.686567864274211,0.18341953,-0.09897576
19,-0.3680166782869229,1.4373505278485217,1.526672882088695,1.664827200177164,0.1629187,-0.091728315
20,-0.3746632560800176,1.518312475259447,1.4808087247100215,1.6396477499332944,0.1188809,-0.041551843
21,-0.37800954576961776,1.5772496421070314,1.4600328030672411,1.6154901099553536,0.124214515,-0.059895083
22,-0.3800698253900061,1.6390112469383478,1.4300852614131312,1.5925515301880313,0.13711518,-0.0828356
28,-0.3339917014010093,2.1272880362235274,1.3291179435935359,1.3323874894516088,-0.12109774,0.13940477
29,-0.349038515900515,2.069066713924929,1.398820330449615,1.2998859786371668,-0.12974201,0.07697387
30,-0.3672935573874244,2.0080351960912957,1.437307265647922,1.257452256721843,-0.08466631,0.109757856
31,-0.3804984019579005,1.9703551127312977,1.4921861934151988,1.2073357467762238,-0.047031637,0.11311187
36,-0.5391142598778161,1.7190898712554745,1.170836535343204,0.8885791010538584,-0.1434589,-0.2751699
38,-0.6353808024232729,1.602617831401643,0.9523975747313838,0.8783108094570201,-0.15316923,-0.09207089
41,-0.7914850370454473,1.411285340513862,0.8453356968846659,0.9084879307769061,-0.1640203,-0.07123861
42,-0.8403019977796603,1.3463521043823408,0.8097163933005671,0.947218655572364,-0.1536694,-0.03683923
43,-0.8828954034789165,1.2841426193321637,0.7912967773762087,0.9965849925788254,-0.16384748,1.2069941e-05
44,-0.9240966307466436,1.2159994388037172,0.7913028123464922,1.060359461890712,-0.18125404,0.031261593
45,-0.9634598922896369,1.1384731584604153,0.8069336088981967,1.145219004265932,-0.19326912,0.08705211
46,-0.9971807029185688,1.0531520749259995,0.8504596623268466,1.2469007355061812,-0.175893,0.18838409
47,-1.0208206234148671,0.9716355101349502,0.944651705273662,1.3295860805288908,-0.17256996,0.28641456
48,-1.0390419197973748,0.8875224204812857,1.0878589871015887,1.3808082935025074,-0.1344218,0.2515846
49,-1.051378119075237,0.8204028321206569,1.2136512818422656,1.3929329837098503,-0.057757262,0.2796115
0,-0.0999999999999998,0.2388888888888888,1.5707963267948966,1.5707963267948966,0.009945571,0.108302906
2,-0.10089322776725838,0.22292664955851432,1.7609265531089644,1.4955512902239223,-0.03388592,0.27593783
3,-0.10202574935997014,0.2121088364117309,1.8988954658296446,1.432528715033251,0.01589802,0.19651264
16,-0.33789563388463556,1.2106530904831323,1.606844195225511,1.7344460728514226,0.19017446,-0.035015106
17,-0.35177197644967306,1.304238893581743,1.589336642124925,1.7023245057386531,0.1866883,-0.082880795
18,-0.3629130155767546,1.3967210005155488,1.5478962446239333,1.6781491146662841,0.18087374,-0.10608302
19,-0.37148146344843924,1.4865661864850903,1.4948547343399863,1.6522379773219262,0.12940092,-0.05008869
20,-0.3758936718748226,1.5507080476266628,1.4698103899743895,1.6267315835428013,0.119787246,-0.049301237
21,-0.378532899993516,1.610186030813746,1.4451597715404372,1.6035016752048563,0.13129884,-0.07295574
22,-0.37990381449459526,1.6755276870679163,1.4086819003012518,1.5795850080813738,0.14582597,-0.09479378
23,-0.3795473821123824,1.7480992651068499,1.3612850094821791,1.5514003970901291,0.16172516,-0.11879353
24,-0.3766295775998603,1.8284409118819953,1.3018882433560233,1.5164787472310177,0.16753413,-0.123198256
25,-0.3704114731988816,1.9112335988093714,1.2402891154077391,1.4742721115954713,0.18005429,-0.04659967
26,-0.3593186696644289,1.998946808879393,1.2169892797854285,1.4174295822310143,0.19766687,0.12380344
27,-0.34107771273184145,2.0942582587305094,1.2788909981634955,1.3530434539381406,-0.015443959,0.250349
28,-0.34286476071413385,2.0868722039735808,1.4040654907610755,1.311136558577743,-0.14383094,0.04067383
29,-0.36226679356042446,2.0184234102645946,1.4244024055686335,1.2757919350571882,-0.09683579,0.12920463
30,-0.3767629286007817,1.9747328019512003,1.4890047209945063,1.2216622744836831,-0.036788605,0.11951845
31,-0.3823750652254805,1.960153918952029,1.5487639466908316,1.1837010024139334,-0.09389922,0.05906722
32,-0.3994622276674168,1.9220565319796403,1.5782975564387183,1.1116707799367667,-0.14234214,-0.10513817
