input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.16386843,-0.21490648
1,-0.10097260305401722,0.23240116316868908,1.4633430848505835,1.588644744028141,0.00015717279,0.13555321
2,-0.100968395666106,0.23193697689058584,1.5311196903374533,1.5661117693858773,0.052851595,0.0051221177
3,-0.1007952160748772,0.2583406051638261,1.5336807491865496,1.562454570962316,0.037489295,0.030881893
4,-0.10057841960679174,0.2770531253758761,1.5491216956314187,1.5561957094994465,0.0471471,0.004460253
5,-0.10022002328463446,0.3006224053431166,1.5513518220421414,1.5550315856312487,0.046433803,0.011480227
6,-0.09983084642943009,0.32383609274657527,1.5570919355985264,1.553132839976465,0.051775333,0.011308547
7,-0.09935619263533743,0.34972285124154334,1.5627462091532092,1.5518915652045078,0.05796441,0.011193313
8,-0.0987993159059449,0.37870465023924377,1.5683428655054907,1.5513748436600143,0.06508907,0.01186822
9,-0.09816843606261391,0.411248390041964,1.5742769754168133,1.5515554922220498,0.07103272,0.019360203
10,-0.0974822961114803,0.4467711722192442,1.5839570770647864,1.5516011121771571,0.072769456,0.052354045
11,-0.09671708945302317,0.4832295829872056,1.6101340996709208,1.5486118585721642,0.06946552,0.11530083
12,-0.09577259557637995,0.518333593165502,1.6677845130350928,1.5404722458219475,0.07389169,0.28439382
13,-0.09411565302607089,0.5573559505312056,1.8099814216282706,1.5198720808349948,0.09855214,0.31344393
14,-0.0916372963602741,0.6088721341881839,1.9667033861067633,1.5297991616183058,0.14711659,0.26050812
15,-0.09117828337087339,0.6803836751176102,2.096957446136747,1.6014917124424384,0.21976388,0.057000577
16,-0.10195886259325952,0.7805607993651269,2.125457734861646,1.7467491125061334,0.19476561,-0.13953194
17,-0.12347027244249137,0.8693852253247918,2.055691764750753,1.859508880939811,0.21619211,-0.29537067
18,-0.15834868102253952,0.9698876229325104,1.9080064306643347,1.9362656356181414,0.20592605,-0.24678394
